style_id,name,description,veo_tokens,lighting,camera,color_palette,mood,best_for
cinematic-warm,"Cinematic Warm","Rich warm tones with filmic depth and golden hour quality","cinematic warm golden hour film grain shallow depth of field","golden hour soft diffused warm key light","steady dolly smooth tracking wide establishing shots","warm amber gold soft brown","inviting nostalgic premium","brand stories luxury products testimonials"
documentary,"Documentary","Authentic observational style with natural realism","documentary handheld natural light raw authentic real-world","natural available light practical sources overcast soft","handheld slight movement observational eye-level medium shots","desaturated natural muted earth tones","truthful raw grounded honest","case studies behind-the-scenes social impact"
tech-clean,"Tech Clean","Sleek modern minimalist with precise controlled lighting","clean minimal futuristic sharp precision high-key studio","bright even studio lighting LED panels soft white","smooth gimbal slow pan product close-ups macro detail","cool white light gray electric blue","innovative precise cutting-edge","product launches SaaS demos tech announcements"
dark-luxury,"Dark Luxury","Moody high-contrast elegance with deep shadows","dark moody luxury high contrast chiaroscuro dramatic shadows","low-key rim lighting single source dramatic side light","slow steady push-in tight close-ups shallow DOF","deep black gold champagne dark burgundy","exclusive sophisticated powerful","premium brands fashion luxury automotive"
bright-minimal,"Bright Minimal","Airy open high-key with clean white space","bright airy minimal clean high-key white space soft","high-key diffused overhead soft fill no harsh shadows","locked tripod centered composition symmetrical framing","white soft pastels light gray clean","fresh simple approachable modern","lifestyle brands wellness startups ecommerce"
noir-dramatic,"Noir Dramatic","High-contrast dramatic with deep blacks and sharp light","noir dramatic high contrast sharp shadows venetian blinds","hard single source side light venetian blind shadows","dutch angle low angle dramatic static locked shots","pure black harsh white deep red","tense mysterious dramatic","thriller promos event teasers dramatic reveals"
pastel-soft,"Pastel Soft","Gentle muted pastels with dreamy soft diffusion","pastel soft dreamy diffused gentle bloom overexposed edges","soft diffused overcast beauty lighting ring light fill","gentle slow motion floating camera eye-level medium shots","blush pink soft lavender mint baby blue cream","gentle calm nurturing delicate","beauty skincare wellness children brands"
bold-vibrant,"Bold Vibrant","High-saturation punchy colors with energetic movement","vibrant bold saturated punchy neon dynamic fast energy","colorful gel lights neon mixed RGB LED creative","fast cuts dynamic motion whip pans handheld energy","electric blue hot pink vivid yellow neon green","exciting energetic bold playful","social media ads music events youth brands"
natural-organic,"Natural Organic","Earth-toned organic textures with environmental authenticity","natural organic earth tones texture rustic sunlight foliage","natural sunlight dappled golden hour backlit rim light","slow pan nature macro handheld gentle movement wide landscape","forest green warm brown terracotta sage olive","calm grounded authentic sustainable","sustainability food organic health outdoor brands"
corporate-sleek,"Corporate Sleek","Professional polished modern corporate aesthetic","corporate professional polished modern clean business studio","even soft studio lighting three-point setup neutral white","smooth dolly steady tripod medium shots professional framing","navy blue slate gray white silver","trustworthy professional confident","corporate comms investor updates B2B enterprise"
retro-vintage,"Retro Vintage","Nostalgic film-inspired with grain texture and faded tones","retro vintage film grain 16mm faded warm halation","warm tungsten practicals soft amber vintage fixtures","zoom lens push-in snap zoom vintage lens flare handheld","faded orange warm yellow burnt sienna dusty rose","nostalgic playful retro warm","throwback campaigns vintage brands music fashion"
epic-cinematic,"Epic Cinematic","Grand-scale widescreen with sweeping dramatic compositions","epic cinematic anamorphic widescreen sweeping grand scale aerial","dramatic natural light storm clouds volumetric haze backlit","crane aerial sweeping dolly extreme wide establishing shots","deep blue storm gray golden hour rich earth tones","awe-inspiring powerful grand majestic","brand films event openers hero content trailers"
intimate-close,"Intimate Close","Personal close-up perspective with emotional connection","intimate close-up personal macro detail shallow bokeh soft","soft window light natural single source warm practical","close-up extreme close-up shallow DOF handheld intimate rack focus","warm skin tones soft neutral muted natural","personal vulnerable connected emotional","testimonials personal stories emotional appeals founder stories"
urban-gritty,"Urban Gritty","Raw street-level energy with textured urban atmosphere","urban gritty street raw concrete neon rain reflections","mixed practical neon signs street lights sodium vapor night","handheld dynamic low angle street-level tracking steadicam","concrete gray neon accent dark asphalt wet reflections","edgy raw authentic urban","streetwear urban culture music nightlife youth"
ethereal-dreamy,"Ethereal Dreamy","Otherworldly soft-focus with luminous haze and gentle movement","ethereal dreamy soft focus haze luminous glow heavenly light","backlit haze soft diffused bloom lens flare golden glow","slow motion floating crane gentle tilt soft focus pull","soft gold pearl white lavender sky blue rose","transcendent magical peaceful serene","fragrance beauty wellness spiritual aspirational"
