palette_id,name,primary,secondary,accent,background,text,mood,best_for
warm-professional,"Warm Professional",#C8553D,#F28F3B,#FFD166,#FFF8F0,#2D2A26,"confident approachable trustworthy","consulting agencies coaching personal brands"
cool-corporate,"Cool Corporate",#2B5797,#4A90D9,#00B4D8,#F0F4F8,#1A1A2E,"reliable structured authoritative","enterprise B2B financial services legal"
vibrant-social,"Vibrant Social",#E63946,#FF6B6B,#FFE66D,#FFFFFF,#1D1D1D,"energetic fun bold attention-grabbing","social media campaigns viral content youth marketing"
dark-luxury,"Dark Luxury",#1A1A1A,#2C2C2C,#C9A96E,#0D0D0D,#F5F0E8,"exclusive sophisticated premium","luxury brands fashion jewelry automotive"
bright-minimal,"Bright Minimal",#333333,#666666,#0066FF,#FFFFFF,#111111,"clean modern simple fresh","startups tech SaaS lifestyle ecommerce"
nature-earth,"Nature Earth",#5B7553,#8CB369,#D4A373,#FAF7F2,#2B2B2B,"grounded organic sustainable authentic","organic products sustainability outdoor wellness"
tech-blue,"Tech Blue",#0A2463,#1E6091,#00E5FF,#0B1120,#E8EDF3,"innovative futuristic cutting-edge","technology AI cybersecurity cloud platforms"
health-green,"Health Green",#2D6A4F,#52B788,#B7E4C7,#F0FFF4,#1B1B1B,"healthy vibrant natural calming","healthcare wellness fitness nutrition pharma"
finance-navy,"Finance Navy",#0B1D3A,#1B3A5C,#3A86FF,#F8F9FA,#0B1D3A,"trustworthy stable secure precise","banking fintech insurance investment"
creative-purple,"Creative Purple",#5B2C8E,#7B4FBF,#E040FB,#FAF5FF,#1A1A2E,"imaginative bold expressive artistic","creative agencies design studios entertainment media"
sunset-warm,"Sunset Warm",#E76F51,#F4A261,#E9C46A,#FFF5EB,#264653,"warm inviting passionate energetic","food hospitality travel lifestyle events"
ocean-calm,"Ocean Calm",#264653,#2A9D8F,#48CAE4,#F0FDFA,#1A1A2E,"serene balanced refreshing tranquil","spa retreat travel meditation wellness"
urban-modern,"Urban Modern",#212529,#495057,#FF4D6D,#F8F9FA,#212529,"edgy contemporary dynamic bold","streetwear urban culture music real estate"
pastel-dream,"Pastel Dream",#B5838D,#E5989B,#FFB4A2,#FFF0EB,#3D3D3D,"gentle soft nurturing delicate","beauty skincare children brands wedding"
midnight-gold,"Midnight Gold",#14213D,#1B2D4F,#FCA311,#000814,#E5E5E5,"prestigious regal powerful distinguished","awards events galas premium memberships"
